psf/psf0.fits	1.24	2.1170964409692162e-13
psf/psf1.fits	1.2565	4.2188365028458653e-13
psf/psf2.fits	1.273	4.1001072573374646e-13
psf/psf3.fits	1.2895	3.9557027905961565e-13
psf/psf4.fits	1.306	3.9046485022634977e-13
psf/psf5.fits	1.3225	3.686168170294543e-13
psf/psf6.fits	1.339	3.6672865439556515e-13
psf/psf7.fits	1.3555	3.5361725598787017e-13
psf/psf8.fits	1.372	3.281495006885999e-13
psf/psf9.fits	1.3885	3.287046024740128e-13
psf/psf10.fits	1.405	3.1796467938314546e-13
psf/psf11.fits	1.4215	3.1027720616436234e-13
psf/psf12.fits	1.438	3.021464748511076e-13
psf/psf13.fits	1.4545	2.9119054085604583e-13
psf/psf14.fits	1.471	2.721521373567225e-13
psf/psf15.fits	1.4875	2.7105279807197603e-13
psf/psf16.fits	1.504	2.680105975852061e-13
psf/psf17.fits	1.5205	2.5074123408801887e-13
psf/psf18.fits	1.537	2.4303173547809373e-13
psf/psf19.fits	1.5535	2.406871620085344e-13
psf/psf20.fits	1.57	1.1795683590188895e-13
